2006529,7838,NETF,"TATAAML - NETF",0,,0,0.01,1,EQ,NSE,NSE
623361,2435,NETFCONSUM,"NIP IND ETF CONSUMPTION",0,,0,0.01,1,EQ,NSE,NSE
674817,2636,NETFDIVOPP,"NIP IND ETF DIV OPP",0,,0,0.01,1,EQ,NSE,NSE
812033,3172,NETFGILT5Y,"RELCAPAMC - NETFGILT5Y",0,,0,0.01,1,EQ,NSE,NSE
4885505,19084,NETFIT,"NIP IND ETF IT",0,,0,0.01,1,EQ,NSE,NSE
4531201,17700,NETFLTGILT,"NIP IND ETF LONGTERM GILT",0,,0,0.01,1,EQ,NSE,NSE
2177537,8506,NETFMID150,"NIP IND ETF MIDCAP 150",0,,0,0.01,1,EQ,NSE,NSE
7571713,29577,NETFNIF100,"NIP IND ETF NIFTY 100",0,,0,0.01,1,EQ,NSE,NSE
2520833,9847,NETFNV20,"NIP IND ETF ETF NV20",0,,0,0.01,1,EQ,NSE,NSE
1273089,4973,NETFPHARMA,"NIPPONAMC - NETFPHARMA",0,,0,0.01,1,EQ,NSE,NSE
773633,3022,NETFSDL26,"RELCAPAMC-NETFSDL26",0,,0,0.01,1,EQ,NSE,NSE
3612417,14111,NETWORK18,"NETWORK18 MEDIA & INV",0,,0,0.05,1,EQ,NSE,NSE
615937,2406,NEULANDLAB,"NEULAND LAB.",0,,0,0.05,1,EQ,NSE,NSE
297985,1164,NEWGEN,"NEWGEN SOFTWARE TECH",0,,0,0.05,1,EQ,NSE,NSE
2525953,9867,NEXTMEDIA,"NEXT MEDIAWORKS",0,,0,0.05,1,EQ,NSE,NSE
3564801,13925,NFL,"NATIONAL FERT.",0,,0,0.05,1,EQ,NSE,NSE
1383425,5404,NGIL-BE,"NAKODA GROUP OF IND.",0,,0,0.05,1,EQ,NSE,NSE
3031041,11840,NH,"NARAYANA HRUDAYALAYA.",0,,0,0.05,1,EQ,NSE,NSE
7945729,31038,NHAI-N1,,0,,0,0.01,1,EQ,NSE,NSE
7946241,31040,NHAI-N2,,0,,0,0.01,1,EQ,NSE,NSE
45057,176,NHAI-N3,,0,,0,0.01,1,EQ,NSE,NSE
46081,180,NHAI-N4,,0,,0,0.01,1,EQ,NSE,NSE
47617,186,NHAI-N5,,0,,0,0.01,1,EQ,NSE,NSE
49153,192,NHAI-N6,,0,,0,0.01,1,EQ,NSE,NSE
3058945,11949,NHAI-N7,,0,,0,0.01,1,EQ,NSE,NSE
3059713,11952,NHAI-N8,,0,,0,0.01,1,EQ,NSE,NSE
3060225,11954,NHAI-N9,,0,,0,0.01,1,EQ,NSE,NSE
3072769,12003,NHAI-NA,,0,,0,0.01,1,EQ,NSE,NSE
3711233,14497,NHAI-NB,,0,,0,0.01,1,EQ,NSE,NSE
3711745,14499,NHAI-NC,,0,,0,0.01,1,EQ,NSE,NSE
3717633,14522,NHAI-ND,,0,,0,0.01,1,EQ,NSE,NSE
